Bin	Average_expression	Median_expression	Rel_cov	Sponge	Phylum	Class	Order	Family	Genus	Species
FL2015_9_0117	0.000227933	9.97E-05	0.104174839	I. felix	Bacteroidota	Rhodothermia	Rhodothermales	Bin80	Bin80	0
FL2015_9_0118	0.000452386	0.00017728	0.146901537	I. felix	Chloroflexota	Dehalococcoidia	SAR202	UBA11138	Bin90	0
FL2015_9_0119	0.000128651	5.64E-05	0.13984952	I. felix	Proteobacteria	Gammaproteobacteria	0	0	0	0
FL2015_9_0120	0.000258753	8.86E-05	0.113829488	I. felix	Desulfobacterota_B	Binatia	UBA9968	0	0	0
FL2015_9_0122	3.77E-05	0	0.075530644	I. felix	Actinobacteriota	Acidimicrobiia	Acidimicrobiales	Bin134	0	0
FL2015_9_0124	0.000518298	0.000103346	0.436210481	I. felix	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Silicimonas	0
FL2015_9_0125	7.91E-05	1.77E-05	0.323672015	I. felix	Gemmatimonadota	Gemmatimonadetes	SG8-23	UBA6960	0	0
FL2015_9_0131	0.000278902	9.92E-05	0.783045809	I. felix	0	0	0	0	0	0
FL2015_9_0132	0.000164492	5.17E-05	0.160157233	I. felix	Proteobacteria	Gammaproteobacteria	HK1	HK1	0	0
FL2015_9_0133	4.42E-05	1.87E-05	0.175851088	I. felix	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Silicimonas	0
FL2015_9_0135	6.23E-05	9.85E-06	0.125360422	I. felix	Proteobacteria	Alphaproteobacteria	UBA828	0	0	0
FL2015_9_0138	0.000134238	1.24E-05	0.497580361	I. felix	Proteobacteria	Alphaproteobacteria	Bin95	Bin95	Bin95	0
FL2015_9_0139	0.000548395	0.000155329	0.811140725	I. felix	Chloroflexota	Dehalococcoidia	UBA2991	0	0	0
FL2015_9_0140	9.48E-05	2.22E-05	0.148186106	I. felix	Proteobacteria	Gammaproteobacteria	HK1	HK1	0	0
FL2015_9_0141	0.000148142	2.81E-05	0.261083595	I. felix	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Silicimonas	0
FL2015_9_0142	0.000181503	8.09E-06	1.654912292	I. felix	Acidobacteriota	Thermoanaerobaculia	UBA5704	UBA5704	0	0
FL2015_9_0144	8.77E-05	1.52E-05	0.663103687	I. felix	Gemmatimonadota	Gemmatimonadetes	SG8-23	UBA6960	BD2-11	0
FL2015_9_1	0.000109545	5.01E-05	0.34366949	I. felix	Acidobacteriota	Acidobacteriae	Bryobacterales	UBA6623	0	0
FL2015_9_10	0.000609962	0.000262637	0.37462651	I. felix	Cyanobacteria	Cyanobacteriia	PCC-6307	Cyanobiaceae	Synechococcus_B	0
FL2015_9_11	0.001030134	0.000579114	2.43168403	I. felix	Poribacteria	WGA-4E	WGA-4E	WGA-3G	MSPOR6	0
FL2015_9_12	9.31E-06	2.06E-06	1.240022151	I. felix	Proteobacteria	Alphaproteobacteria	Bin65	Bin65	Bin65	0
FL2015_9_13	8.28E-05	2.05E-05	0.335906166	I. felix	Proteobacteria	Alphaproteobacteria	Bin95	Bin95	Bin95	0
FL2015_9_14	7.05E-05	1.71E-05	0.536739097	I. felix	Proteobacteria	Alphaproteobacteria	UBA7887	0	0	0
FL2015_9_15	4.92E-05	9.85E-06	0.123098186	I. felix	Proteobacteria	Alphaproteobacteria	UBA828	0	0	0
FL2015_9_16	3.64E-05	1.08E-05	0.253888364	I. felix	Proteobacteria	Gammaproteobacteria	GCA-2729495	GCA-2729495	0	0
FL2015_9_17	0.000165719	6.65E-05	0.602320647	I. felix	Proteobacteria	Gammaproteobacteria	Pseudomonadales	HTCC2089	Bin55	0
FL2015_9_18	7.04E-05	2.61E-05	0.370830779	I. felix	Proteobacteria	Gammaproteobacteria	UBA6522	UBA6522	0	0
FL2015_9_19	6.51E-05	2.82E-05	0.16196942	I. felix	Proteobacteria	Gammaproteobacteria	UBA6522	UBA6522	0	0
FL2015_9_2	8.84E-06	2.46E-06	1.768494184	I. felix	Acidobacteriota	Thermoanaerobaculia	UBA5704	QQVD01	0	0
FL2015_9_20	6.70E-05	3.73E-05	0.106484341	I. felix	Verrucomicrobiota	Verrucomicrobiae	Opitutales	UBA2995	UBA2995	0
FL2015_9_21	0.000793718	0.000103734	0.590247326	I. felix	Verrucomicrobiota	Verrucomicrobiae	Opitutales	0	0	0
FL2015_9_3	0.000121372	2.10E-05	0.214587682	I. felix	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	UBA8438	0	0
FL2015_9_4	0.000227745	0.000108461	0.84964342	I. felix	Chloroflexota	Dehalococcoidia	Bin125	Bin125	Bin125	0
FL2015_9_5	0.000377281	0.000187118	0.470109297	I. felix	Chloroflexota	Dehalococcoidia	SAR202	UBA11138	0	0
FL2015_9_6	0.00099614	0.000436381	1.147786233	I. felix	Chloroflexota	Dehalococcoidia	SAR202	UBA11138	Bin90	0
FL2015_9_7	0.000233847	8.36E-05	0.704904185	I. felix	Chloroflexota	Dehalococcoidia	UBA1151	Bin127	Bin127	0
FL2015_9_8	6.68E-06	0	0.101739006	I. felix	Chloroflexota	Dehalococcoidia	UBA2979	UBA2979	0	0
FL2015_9_9	0.000134359	5.83E-05	0.165552354	I. felix	Chloroflexota	Dehalococcoidia	UBA6926	UBA6926	0	0
FL2014_9_0001	0.000167103	6.04E-05	0.353208201	H. lachne	Chloroflexota	Dehalococcoidia	SAR202	UBA11138	0	0
FL2014_9_0002	3.58E-05	7.45E-06	1.115893915	H. lachne	Proteobacteria	Alphaproteobacteria	Defluviicoccales	Defluviicoccaceae	Defluviicoccus	0
FL2014_9_0003	0.000231152	7.51E-05	0.348680097	H. lachne	Chloroflexota	Dehalococcoidia	SAR202	0	0	0
FL2014_9_0004	0.000128818	3.55E-05	0.313945558	H. lachne	Proteobacteria	Alphaproteobacteria	Rhodobacterales	0	0	0
FL2014_9_0005	5.25E-05	1.83E-05	0.307223333	H. lachne	Acidobacteriota	Acidobacteriae	Bryobacterales	UBA6623	0	0
FL2014_9_0006	0.000105575	2.79E-05	0.577851717	H. lachne	Proteobacteria	Alphaproteobacteria	SP197	SP197	SP197	0
FL2014_9_0007	6.52E-05	1.73E-05	0.390822067	H. lachne	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Silicimonas	0
FL2014_9_0008	0.000109341	4.43E-05	0.789224099	H. lachne	Chloroflexota	Anaerolineae	Caldilineales	Bin34	Bin34	0
FL2014_9_0009	2.68E-05	8.35E-06	1.381653339	H. lachne	Actinobacteriota	Acidimicrobiia	Acidimicrobiales	Bin134	Bin134	0
FL2014_9_0010	0.000136821	6.88E-05	0.980942459	H. lachne	Latescibacterota	0	0	0	0	0
FL2014_9_0011	7.33E-05	1.78E-05	0.405798773	H. lachne	Proteobacteria	Alphaproteobacteria	Thalassobaculales	Nisaeaceae	Bin52	0
FL2014_9_0012	0.000135896	6.56E-05	0.400804154	H. lachne	Chloroflexota	Dehalococcoidia	UBA6952	QGNO01	0	0
FL2014_9_0013	6.62E-05	2.38E-05	0.619594763	H. lachne	Acidobacteriota	Acidobacteriae	Bryobacterales	UBA6623	0	0
FL2014_9_0014	4.07E-05	1.99E-05	0.469014971	H. lachne	Proteobacteria	Gammaproteobacteria	UBA6522	UBA6522	0	0
FL2014_9_0015	0.000121158	2.65E-05	0.498340059	H. lachne	Acidobacteriota	Bin61	Bin61	Bin61	Bin61	0
FL2014_9_0016	0.000108956	3.32E-05	0.507675657	H. lachne	Gemmatimonadota	Gemmatimonadetes	SG8-23	UBA6960	BD2-11	0
FL2014_9_0017	6.29E-05	2.75E-05	1.876103134	H. lachne	Acidobacteriota	Acidobacteriae	Bryobacterales	UBA6623	0	0
FL2014_9_0018	0.000273622	7.98E-05	0.225780509	H. lachne	Chloroflexota	Anaerolineae	SBR1031	A4b	UBA6055	0
FL2014_9_0019	0.000177204	7.59E-05	0.216344495	H. lachne	Chloroflexota	Dehalococcoidia	UBA1151	0	0	0
FL2014_9_0020	5.30E-05	1.94E-05	1.06966055	H. lachne	Proteobacteria	Gammaproteobacteria	UBA6522	UBA6522	0	0
FL2014_9_0021	8.74E-05	1.65E-05	0.198928517	H. lachne	Latescibacterota	UBA2968	UBA8231	UBA8231	UBA8231	0
FL2014_9_0022	3.59E-05	6.53E-06	0.469024218	H. lachne	Acidobacteriota	Bin61	Bin61	Bin61	Bin61	0
FL2014_9_0023	0.000750032	0.000289148	1.617751361	H. lachne	Chloroflexota	Dehalococcoidia	UBA3495	UBA3495	Bin22	0
FL2014_9_0024	3.60E-05	1.22E-05	0.215249461	H. lachne	Proteobacteria	Gammaproteobacteria	Pseudomonadales	HTCC2089	Bin55	0
FL2014_9_0025	6.09E-05	2.01E-05	1.035780562	H. lachne	Chloroflexota	Dehalococcoidia	UBA2963	UBA2963	Bin16	0
FL2014_9_0026	7.25E-05	1.59E-05	0.49795958	H. lachne	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	UBA8438	UBA8438	0
FL2014_9_0027	0.001421694	0.000833597	1.094766052	H. lachne	Poribacteria	WGA-4E	WGA-4E	WGA-3G	MSPOR6	0
FL2014_9_0028	2.64E-05	1.02E-05	1.222554589	H. lachne	Proteobacteria	Gammaproteobacteria	Pseudomonadales	HTCC2089	UBA2168	0
FL2014_9_0029	3.92E-05	1.34E-05	1.264458024	H. lachne	Acidobacteriota	Thermoanaerobaculia	UBA5704	QQVD01	0	0
FL2014_9_0030	2.38E-05	8.85E-06	0.240875183	H. lachne	Proteobacteria	Gammaproteobacteria	Pseudomonadales	HTCC2089	UBA2168	0
FL2014_9_0031	2.24E-05	8.13E-06	0.557739325	H. lachne	Proteobacteria	Alphaproteobacteria	Rhodospirillales	UBA2165	0	0
FL2014_9_0033	3.52E-05	6.88E-06	0.483411259	H. lachne	Proteobacteria	Alphaproteobacteria	Bin65	Bin65	Bin65	0
FL2014_9_0034	0.00026327	0.000100626	0.173317705	H. lachne	Desulfobacterota_B	Binatia	Bin18	Bin18	Bin18	0
FL2014_9_0037	9.20E-06	0	0.380013991	H. lachne	Chloroflexota	Dehalococcoidia	UBA2979	UBA2979	0	0
FL2014_9_0038	7.70E-05	2.43E-05	0.388789169	H. lachne	Proteobacteria	Gammaproteobacteria	UBA4486	0	0	0
FL2014_9_0039	0.000178078	2.68E-05	0.158776717	H. lachne	Proteobacteria	Gammaproteobacteria	UBA4575	UBA4575	0	0
FL2014_9_0040	9.59E-05	2.60E-05	0.378599495	H. lachne	Chloroflexota	Dehalococcoidia	UBA1127	UBA1127	UBA1127	0
FL2014_9_0041	0.000714426	0.00035889	0.762954485	H. lachne	Poribacteria	WGA-4E	WGA-4E	WGA-3G	WGA-3G	0
FL2014_9_0042	5.92E-05	2.58E-05	1.480884648	H. lachne	Proteobacteria	Gammaproteobacteria	UBA4486	UBA4486	0	0
FL2014_9_0043	8.38E-05	2.60E-05	0.185997045	H. lachne	Chloroflexota	UBA11872	UBA11872	0	0	0
FL2014_9_0044	0.000114203	2.88E-05	0.163442472	H. lachne	Chloroflexota	Anaerolineae	SBR1031	A4b	0	0
FL2014_9_0045	0.000127588	5.25E-05	0.169758115	H. lachne	Chloroflexota	Dehalococcoidia	SAR202	0	0	0
FL2014_9_0046	0.000255721	0.000105001	0.237041622	H. lachne	Chloroflexota	UBA2235	UBA12225	0	0	0
FL2014_9_0047	0.00022198	0.000117488	1.658598719	H. lachne	Chloroflexota	Dehalococcoidia	SAR202	UBA11138	Bin90	0
FL2014_9_0048	7.14E-05	2.08E-05	0.153610884	H. lachne	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Bin36	0
FL2014_9_0049	0.000130806	6.04E-05	0.27185661	H. lachne	Chloroflexota	Dehalococcoidia	SAR202	0	0	0
FL2014_9_0050	0.000236395	0.000100626	0.173379585	H. lachne	Chloroflexota	Dehalococcoidia	UBA6926	0	0	0
FL2014_9_0051	0.000632037	0.000207961	0.150545825	H. lachne	Chloroflexota	Dehalococcoidia	UBA3495	UBA3495	0	0
FL2014_9_0053	0.000243714	7.13E-05	0.131863322	H. lachne	Chloroflexota	Anaerolineae	SBR1031	A4b	UBA6055	0
FL2014_9_0054	0.000553488	0.000201252	0.139702004	H. lachne	Chloroflexota	Dehalococcoidia	UBA3495	UBA3495	0	0
FL2014_9_0055	4.67E-05	9.05E-06	0.289442772	H. lachne	Proteobacteria	Alphaproteobacteria	UBA828	0	0	0
FL2014_9_0057	8.22E-05	2.84E-05	0.341467529	H. lachne	Chloroflexota	Dehalococcoidia	Bin125	Bin125	Bin125	0
FL2014_9_0058	0.000279179	6.44E-05	0.138689639	H. lachne	Chloroflexota	Anaerolineae	SBR1031	A4b	UBA6055	0
FL2014_9_0060	4.02E-05	0	0.118827294	H. lachne	Proteobacteria	Alphaproteobacteria	GCA-2731375	GCA-2731375	0	0
FL2014_9_0061	4.40E-05	0	0.116752035	H. lachne	Desulfobacterota_D	UBA1144	UBA2774	0	0	0
FL2014_9_0062	1.95E-05	0	0.121851802	H. lachne	Proteobacteria	Gammaproteobacteria	Pseudomonadales	HTCC2089	0	0
FL2014_9_0063	0.000318101	0.0001623	0.505642511	H. lachne	Chloroflexota	Dehalococcoidia	SAR202	UBA11138	0	0
FL2014_9_0064	3.16E-05	1.10E-05	2.40622491	H. lachne	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudohongiellaceae	UBA9145	0
FL2014_9_0065	9.01E-05	3.41E-05	1.501670647	H. lachne	Desulfobacterota_B	Binatia	UBA9968	0	0	0
FL2014_9_0066	0.000148958	4.62E-05	0.436090662	H. lachne	Chloroflexota	Anaerolineae	SBR1031	A4b	UBA6055	0
FL2014_9_0067	7.18E-05	2.50E-05	1.702290545	H. lachne	Bacteroidota	Rhodothermia	Rhodothermales	0	0	0
FL2014_9_0068	7.07E-05	1.52E-05	1.536858385	H. lachne	Proteobacteria	Alphaproteobacteria	UBA7887	0	0	0
FL2014_9_0069	9.37E-05	3.18E-05	0.431425739	H. lachne	Chloroflexota	Dehalococcoidia	SAR202	UBA2962	0	0
FL2014_9_0070	0.000717767	0.000280557	0.574618193	H. lachne	Chloroflexota	Dehalococcoidia	UBA3495	UBA3495	Bin87	0
FL2014_9_0071	0.000275757	0.000106787	0.511003166	H. lachne	Chloroflexota	Dehalococcoidia	UBA3495	GCA-2712585	0	0
FL2014_9_0072	0.000125341	2.27E-05	0.278852315	H. lachne	Nitrospirota	Nitrospiria	Nitrospirales	UBA8639	Bin75	0
FL2014_9_0073	4.36E-05	1.46E-05	0.636658536	H. lachne	Gemmatimonadota	Gemmatimonadetes	0	0	0	0
FL2014_9_0075	5.53E-05	1.96E-05	0.648858387	H. lachne	Verrucomicrobiota	Verrucomicrobiae	Opitutales	UBA2995	UBA2995	0
FL2014_9_0076	0.000179497	6.30E-05	2.778294042	H. lachne	Chloroflexota	Dehalococcoidia	UBA1151	Bin127	Bin127	0
FL2014_9_0077	7.53E-05	2.37E-05	0.293490931	H. lachne	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	UBA2999	0	0
FL2014_9_0078	0.000609564	0.000339414	0.589514847	H. lachne	Chloroflexota	Dehalococcoidia	SAR202	UBA11138	0	0
FL2014_9_0079	0.0001374	4.77E-05	0.313590767	H. lachne	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Bin36	0
FL2014_9_0080	1.45E-05	5.27E-06	0.325349883	H. lachne	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Halieaceae	0	0
FL2014_9_0082	9.95E-05	4.70E-05	1.382733141	H. lachne	Bacteroidota	Rhodothermia	Rhodothermales	Bin80	Bin80	0
FL2014_9_0083	6.55E-05	2.16E-05	2.151181405	H. lachne	Desulfobacterota_D	UBA1144	0	0	0	0
FL2014_9_0084	4.61E-05	2.00E-05	0.526511613	H. lachne	Acidobacteriota	Bin61	Bin61	Bin61	Bin61	0
FL2014_9_0085	3.94E-05	7.08E-06	0.939638128	H. lachne	Chloroflexota	Dehalococcoidia	UBA2979	UBA2979	0	0
FL2014_9_0086	4.19E-05	1.28E-05	1.150220187	H. lachne	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	UBA8438	0	0
FL2014_9_0087	4.91E-05	1.37E-05	0.615722671	H. lachne	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	UBA8438	0	0
FL2014_9_0088	3.41E-05	7.69E-06	0.400814063	H. lachne	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	UBA8438	0	0
FL2014_9_0089	3.92E-05	1.32E-05	1.260060383	H. lachne	Nitrospinota_A	UBA8248	UBA8248	UBA8248	Bin107	0
FL2014_9_0090	8.17E-05	2.54E-05	1.804804566	H. lachne	Gemmatimonadota	Gemmatimonadetes	SG8-23	UBA6960	Bin94	0
FL2014_9_0091	0.000105978	3.35E-05	1.182441093	H. lachne	Gemmatimonadota	Gemmatimonadetes	SG8-23	UBA6960	Bin94	0
FL2014_9_0092	4.48E-05	1.12E-05	0.241976381	H. lachne	Proteobacteria	Alphaproteobacteria	Defluviicoccales	Defluviicoccaceae	0	0
FL2014_9_0095	0.000299473	0.000140557	0.41354485	H. lachne	Actinobacteriota	Acidimicrobiia	UBA5794	SZUA-232	0	0
FL2014_9_0096	0.000116554	4.03E-05	0.205869249	H. lachne	Actinobacteriota	Acidimicrobiia	UBA5794	Bin76	Bin76	0
FL2014_9_0097	0.000678291	0.000442601	2.687515231	H. lachne	Poribacteria	WGA-4E	WGA-4E	WGA-3G	0	0
FL2014_9_0099	1.17E-05	2.33E-06	0.345741391	H. lachne	Actinobacteriota	Acidimicrobiia	Acidimicrobiales	Bin134	0	0
FL2014_9_0101	5.40E-05	2.29E-05	0.464658869	H. lachne	Proteobacteria	Gammaproteobacteria	GCA-2729495	GCA-2729495	0	0
FL2014_9_0102	6.07E-05	3.02E-05	0.317762092	H. lachne	Proteobacteria	Gammaproteobacteria	GCA-2729495	GCA-2729495	0	0
FL2014_9_0103	0.000253105	9.54E-05	0.24697672	H. lachne	Patescibacteria	Paceibacteria	Spechtbacterales	2-12-FULL-38-22	0	0
FL2014_9_0104	0.000270178	1.64E-05	0.18072486	H. lachne	Patescibacteria	Paceibacteria	UBA9983	UBA2163	0	0
FL2014_9_0105	5.53E-05	1.09E-05	0.177276164	H. lachne	Proteobacteria	Gammaproteobacteria	UBA4575	UBA4575	0	0
FL2014_9_0106	4.03E-05	1.03E-05	0.170431853	H. lachne	Proteobacteria	Gammaproteobacteria	UBA4575	UBA4575	0	0
FL2014_9_0107	7.17E-05	2.14E-05	0.348336692	H. lachne	Chloroflexota	Dehalococcoidia	UBA2963	UBA2963	Bin16	0
FL2014_9_0109	0.000105382	4.64E-05	0.255398714	H. lachne	Proteobacteria	Gammaproteobacteria	HK1	HK1	0	0
FL2014_9_0110	0.000193785	9.69E-05	0.140628192	H. lachne	Proteobacteria	Gammaproteobacteria	Pseudomonadales	HTCC2089	Bin55	0
FL2014_9_0111	0.00012977	3.10E-05	0.113738495	H. lachne	Spirochaetota	Spirochaetia	Spirochaetales	Bin103	Bin103	0
FL2014_9_0113	0.000176386	7.65E-05	0.748590646	H. lachne	Proteobacteria	Gammaproteobacteria	Pseudomonadales	HTCC2089	Bin55	0
FL2014_9_0114	2.41E-05	5.43E-06	1.263890406	H. lachne	Chloroflexota	Dehalococcoidia	UBA2991	UBA2991	UBA2991	0
FL2014_9_0115	5.44E-05	1.58E-05	0.330986525	H. lachne	Chloroflexota	Dehalococcoidia	UBA2963	UBA2963	0	0
FL2014_9_0116	2.86E-05	1.04E-05	1.427793868	H. lachne	Actinobacteriota	Acidimicrobiia	Acidimicrobiales	TK06	0	0
FL2014_9_0119	9.57E-05	3.14E-05	0.396338847	H. lachne	Proteobacteria	Gammaproteobacteria	HK1	HK1	0	0
FL2014_9_0120	5.24E-05	1.95E-05	0.3859669	H. lachne	Chloroflexota	Dehalococcoidia	UBA2963	UBA2963	Bin16	0
FL2014_9_0121	7.64E-05	2.83E-05	0.324763693	H. lachne	Chloroflexota	Dehalococcoidia	UBA2963	UBA2963	Bin16	0
FL2014_9_0122	0.000635794	0.000351943	2.758413377	H. lachne	Poribacteria	WGA-4E	WGA-4E	WGA-3G	0	0
FL2014_9_0123	8.99E-05	2.88E-05	0.209382838	H. lachne	Verrucomicrobiota	Verrucomicrobiae	Opitutales	UBA2995	UBA2995	0
FL2014_9_0124	0.000552409	0.000172502	0.168389745	H. lachne	Chloroflexota	Dehalococcoidia	UBA3495	UBA3495	0	0
FL2014_9_0125	0.000200372	5.37E-05	0.156712769	H. lachne	Deinococcota	Deinococci	Deinococcales	Trueperaceae	MPNL01	0
FL2014_9_0126	0.000233792	6.29E-05	0.12674315	H. lachne	Chloroflexota	Anaerolineae	SBR1031	A4b	UBA6055	0
FL2014_9_0130	4.58E-05	0	0.120518962	H. lachne	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	0	0
FL2014_9_0131	1.30E-05	0	0.132039817	H. lachne	Actinobacteriota	Acidimicrobiia	Acidimicrobiales	UBA11606	0	0
FL2014_9_0132	1.67E-05	0	0.138419986	H. lachne	Actinobacteriota	Acidimicrobiia	Acidimicrobiales	Bin134	0	0
FL2014_9_0133	2.81E-05	0	0.119313488	H. lachne	Actinobacteriota	Acidimicrobiia	Acidimicrobiales	UBA11606	0	0
FL2014_9_0134	0.000121327	4.24E-05	1.218557144	H. lachne	Chloroflexota	Dehalococcoidia	UBA6926	UBA6926	0	0
FL2014_9_0136	0.000197353	0.000151835	1.525998341	H. lachne	Latescibacterota	UBA2968	UBA8231	GCA-002724215	GCA-2724215	0
FL2014_9_0137	3.85E-05	1.99E-05	0.451551133	H. lachne	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	UBA8438	0	0
FL2014_9_0138	7.30E-06	0	0.354863144	H. lachne	Actinobacteriota	Acidimicrobiia	Acidimicrobiales	UBA11606	0	0
FL2014_9_0141	5.63E-05	1.97E-05	0.384019756	H. lachne	Gemmatimonadota	Gemmatimonadetes	SG8-23	UBA6960	UBA2988	0
FL2014_9_0144	4.51E-05	1.66E-05	0.461034895	H. lachne	Chloroflexota	Dehalococcoidia	UBA2963	UBA2963	Bin16	0
FL2014_9_0145	0.00119906	0.001137859	3.110898876	H. lachne	Poribacteria	WGA-4E	WGA-4E	WGA-3G	WGA-3G	0
FL2014_9_0148	4.17E-05	9.62E-06	0.379316875	H. lachne	Proteobacteria	Alphaproteobacteria	UBA828	0	0	0
FL2014_9_0152	5.64E-05	8.21E-06	0.328348376	H. lachne	Proteobacteria	Alphaproteobacteria	Bin65	Bin65	0	0
FL2014_9_0153	0.000669893	0.000402505	0.135026749	H. lachne	Poribacteria	WGA-4E	WGA-4E	WGA-3G	0	0
FL2014_9_0154	0.000707472	0.000366157	0.544651053	H. lachne	Poribacteria	WGA-4E	WGA-4E	WGA-3G	WGA-3G	0
FL2014_9_0155	6.80E-05	1.18E-05	0.617956511	H. lachne	Acidobacteriota	Thermoanaerobaculia	UBA5704	0	0	0
FL2014_9_0156	0.000122483	2.34E-05	0.170249301	H. lachne	Acidobacteriota	Acidobacteriae	Bryobacterales	UBA6623	0	0
FL2014_9_0157	8.55E-05	2.13E-05	0.720720151	H. lachne	Acidobacteriota	Bin61	Bin61	Bin61	0	0
FL2014_9_0158	5.10E-05	5.44E-06	0.255964532	H. lachne	Actinobacteriota	Acidimicrobiia	Acidimicrobiales	UBA11606	0	0
FL2014_9_0159	0.000139329	5.19E-05	1.379215238	H. lachne	Latescibacterota	UBA2968	UBA8231	0	0	0
FL2014_9_0160	0.000170617	3.66E-05	1.079249121	H. lachne	Latescibacterota	UBA2968	UBA8231	GCA-002724215	GCA-2724215	0
FL2014_9_0162	9.89E-05	4.12E-05	0.547001429	H. lachne	Gemmatimonadota	Gemmatimonadetes	SG8-23	UBA6960	0	0
FL2014_9_0163	7.47E-05	3.42E-05	0.514058361	H. lachne	Gemmatimonadota	Gemmatimonadetes	SG8-23	UBA6960	0	0
FL2014_9_0164	6.46E-05	1.28E-05	0.585350509	H. lachne	Proteobacteria	Gammaproteobacteria	Pseudomonadales	HTCC2089	SYFY01	0
FL2014_9_0165	3.97E-05	7.89E-06	0.409088726	H. lachne	Proteobacteria	Alphaproteobacteria	UBA828	UBA828	0	0
FL2014_9_0166	4.88E-05	1.69E-05	0.830000966	H. lachne	Proteobacteria	Alphaproteobacteria	Bin65	Bin65	Bin65	0
FL2014_9_0167	1.95E-05	6.24E-06	0.170404096	H. lachne	Proteobacteria	Gammaproteobacteria	UBA4575	UBA4575	0	0
FL2014_9_0169	2.66E-05	2.93E-06	0.19980723	H. lachne	Proteobacteria	Gammaproteobacteria	Pseudomonadales	HTCC2089	Bin55	0
FL2014_9_0170	4.81E-05	1.25E-05	0.70613422	H. lachne	Proteobacteria	Gammaproteobacteria	HK1	0	0	0
FL2014_9_0171	4.89E-05	1.33E-05	0.757795125	H. lachne	Proteobacteria	Gammaproteobacteria	HK1	HK1	0	0
FL2014_9_0172	4.28E-05	1.07E-05	0.187279957	H. lachne	Proteobacteria	Gammaproteobacteria	UBA4575	UBA4575	0	0
FL2014_9_0174	0.000208355	6.71E-05	0.165402637	H. lachne	Chloroflexota	Anaerolineae	SBR1031	A4b	UBA6055	0
FL2014_9_0175	5.09E-05	1.44E-05	0.186873077	H. lachne	Proteobacteria	Gammaproteobacteria	UBA6522	UBA6522	0	0
FL2014_9_0176	0.000260819	0.000145727	0.476266262	H. lachne	Proteobacteria	Gammaproteobacteria	HK1	HK1	0	0
FL2014_9_0177	4.36E-05	2.01E-05	0.408612213	H. lachne	Proteobacteria	Gammaproteobacteria	UBA6522	UBA6522	0	0
FL2014_9_0178	9.41E-05	2.52E-05	0.611061151	H. lachne	Gemmatimonadota	Gemmatimonadetes	SG8-23	UBA6960	0	0
FL2014_9_1	0.000165896	5.21E-05	0.170257157	H. lachne	Chloroflexota	Anaerolineae	SBR1031	A4b	UBA6055	0
FL2014_9_10	0.000152646	5.90E-05	1.022905283	H. lachne	Proteobacteria	Gammaproteobacteria	Pseudomonadales	HTCC2089	Bin55	0
FL2014_9_11	5.33E-05	5.69E-06	1.080336898	H. lachne	Proteobacteria	Gammaproteobacteria	Porisulfidales	Porisulfidaceae	Porisulfidus	0
FL2014_9_12	2.74E-05	0	0.327350388	H. lachne	Actinobacteriota	Acidimicrobiia	Acidimicrobiales	UBA11606	0	0
FL2014_9_13	6.69E-05	2.34E-05	0.196189934	H. lachne	Proteobacteria	Alphaproteobacteria	UBA2966	UBA2966	UBA2966	0
FL2014_9_14	7.81E-05	4.33E-05	0.375082739	H. lachne	Gemmatimonadota	Gemmatimonadetes	SG8-23	UBA6960	0	0
FL2014_9_15	4.60E-05	1.81E-05	0.773662696	H. lachne	Nitrospinota_A	UBA8248	UBA8248	UBA8248	Bin107	0
FL2014_9_2	0.000128764	5.05E-05	0.91783594	H. lachne	Chloroflexota	Dehalococcoidia	Bin125	Bin125	Bin125	0
FL2014_9_3	0.000204335	6.71E-05	0.257309416	H. lachne	Chloroflexota	Dehalococcoidia	UBA1151	Bin127	Bin127	0
FL2014_9_4	4.33E-05	0	0.273434555	H. lachne	Actinobacteriota	Acidimicrobiia	Acidimicrobiales	Bin134	Bin134	0
FL2014_9_5	0.000112928	4.37E-05	0.847337954	H. lachne	Desulfobacterota_B	Binatia	Bin18	Bin18	Bin18	0
FL2014_9_6	4.99E-05	8.53E-06	0.691329987	H. lachne	Proteobacteria	Alphaproteobacteria	Bin95	Bin95	Bin95	0
FL2014_9_7	0.000265724	0.000120352	0.567301109	H. lachne	Chloroflexota	Anaerolineae	Caldilineales	Caldilineaceae	Bin5	0
